                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    140,                0.33272,                0.18836,                0.76682,                0.96432,                0.86971,                 0.9266,                0.84771,                0.27869,                0.17262,                0.78344,               0.000826,               0.000826,               0.000826
                    141,                0.33336,                0.18853,                0.76659,                0.96316,                0.86961,                0.92633,                0.84706,                0.27908,                0.17245,                0.78334,                0.00076,                0.00076,                0.00076
                    142,                0.32957,                0.18676,                0.76632,                 0.9633,                0.86941,                0.92649,                0.84844,                0.27867,                0.17213,                0.78321,               0.000694,               0.000694,               0.000694
                    143,                0.32849,                0.18525,                0.76698,                0.96323,                0.86911,                0.92662,                 0.8504,                0.27771,                0.17176,                0.78308,               0.000628,               0.000628,               0.000628
                    144,                0.32825,                0.18456,                0.76698,                0.96331,                0.86879,                0.92646,                0.85035,                 0.2781,                0.17212,                0.78298,               0.000562,               0.000562,               0.000562
                    145,                  0.327,                0.18342,                0.76743,                0.96428,                0.86832,                 0.9265,                0.84994,                0.27847,                0.17202,                0.78298,               0.000496,               0.000496,               0.000496
                    146,                0.32452,                0.18248,                 0.7668,                0.96411,                0.86824,                0.92642,                0.84816,                0.27888,                0.17234,                0.78308,                0.00043,                0.00043,                0.00043
                    147,                0.32397,                0.18202,                0.76644,                0.96395,                0.86789,                 0.9264,                0.84591,                0.27901,                0.17216,                0.78358,               0.000364,               0.000364,               0.000364
                    148,                0.32202,                0.18063,                0.76619,                0.96407,                 0.8684,                0.92642,                 0.8465,                0.27936,                0.17231,                0.78346,               0.000298,               0.000298,               0.000298
                    149,                0.32456,                0.18059,                0.76633,                0.96479,                 0.8678,                0.92606,                 0.8466,                0.28008,                0.17288,                0.78329,               0.000232,               0.000232,               0.000232
